Material,Value
Li1−xVPO4F1−yOz,4.27
Li1−xVPO4F1−yOz,3
Li1−xVPO4F1−yOz,3.85
Li1−z Ni1+z F y O2−y,3.7
Li1−z Ni1+z F y O2−y,3.65
Li1−z(MgxNi1−x)1+zO2,4.4
Li1−z(MgxNi1−x)1+zO2,3.9
Li1−z(MgxNi1−x)1+zO2,4
Li1−z(MgxNi1−x)1−zO2,4
Li1−z(MgxNi1−x)1−zO2,8.30E-05
Li1−z(MgxNi1−x)1−zO2,3.9
Li1−z(MgxNi1−x)1−zO2,4.4
Li1−zNi1+zFyO2−y,3.7
Li1−zNi1+zFyO2−y,3.00E-05
Li1−zNi1+zFyO2−y,3.65
Li1−zNi1+zO2,3.00E-05
Li1−zNi1+zO2,3.9
Li1C40,0.4
Li1C40,0.35
Li1C40,0.41
Li1C40,0.57
Li1C40,0.31
Li1C40,0.46
Li1Mn2O4,3
Li1Mn2O4,4
Li1Mn2O4,4.1
Li1Mn2O4,3.95
Li1Ni1 / 3Mn1 / 3Co1 / 3O2,3
Li1Ni1 / 3Mn1 / 3Co1 / 3O2,4.3
Li1Si,1.55
Li1Ti2O4,1.5
Li1TiO2,1
Li1TiO2,1.5
Li1TiO2,1.91
Li1TiO2,1.89
Li1TiO2,1.45
Li1TiO2,1.41
Li1TiO2,3
Li1VO2,2.09
Li1-xCoO2,3.9
Li1-xCoO2,2.3
Li1-xCoO2,3
Li1-xCoO2,4.2
Li1-xCoO2 / LATP-GC,3.92
Li1-xMn2O4,4
Li1-xNaxMnPO4 / C,2.5
Li1-xNi0.5Mn1.5O4,4.9
Li2 - xFeS2,1.9
Li2 - xMgxMnO3,4.7
Li2 − xMnSiO4,4.7
Li2 CO3,4.3
Li2 MnO3,2
Li2(C14H6O4),1.5
Li2(C14H6O4),3
Li2(Fe1−xMnx)P2O7,3.9
Li2(Fe2O3),0.68
Li2(Fe2O3),1.4
Li2(Fe2O3),0.74
Li2(Fe3O4),0.8
Li2(Fe3O4),0.5
Li2(Fe3O4),0.7
Li2(Mn0.46Ni0.46Ti0.05Li0.02)O2,1.4
Li2(Mn0.46Ni0.46Ti0.05Li0.02)O2,2
Li2(VO)2(HPO4)2(C2O4),3.9
Li2.05Na1.95Ti6O14,1.36
Li2.05Na1.95Ti6O14,1.28
Li2.05Na1.95Ti6O14,3
Li2.05Na1.95Ti6O14,1.4
Li2.05Na1.95Ti6O14,1.15
Li2.05Na1.95Ti6O14,1.8
Li2.05Na1.95Ti6O14,1.33
Li2.05Na1.95Ti6O14,2.5
Li2.05Na1.95Ti6O14,1.43
Li2.05Na1.95Ti6O14,1.31
Li2.05Na1.95Ti6O14,0.06
Li2.05ZnAl0.05Si0.95O4,0.0002
Li2.0V2O5,2.15
Li2.0V2O5,3.16
Li2.0V2O5,3.38
Li2.10Cr0.44Mn3.74O9,3.6
Li2.10Cr0.44Mn3.74O9,2
Li2.13Co0.43N ,1
Li2.1Ru0.9Co0.1O3,3.6
Li2.1Ru0.9Co0.1O3,3.8
Li2.1Ru0.9Co0.1O3,4
Li2.1Ru0.9Co0.1O3,4.2
Li2.20Co0.40N,1.6
Li2.20Co0.40N,0.02
Li2.20Co0.40N,1
Li2.23Co0.39N,2
Li2.23Co0.39N,1.4
Li2.2Cr2O5,2
Li2.2Fe0.8S2,2.5
Li2.2Fe0.9SiO4,4.3
Li2.2Fe0.9SiO4,2
Li2.2V2O5·nH2O,1
Li2.32Ni0.34N,0.02
Li2.33Si,0.000288
Li2.33Si,0.14
Li2.33Si,0.00017
Li2.33Sn,0.7
Li2.33Sn,0.8
Li2.33Sn,0.6
Li2.33Sn,0.41
Li2.33Sn,0.68
Li2.33Sn,0.1
Li2.33Sn,0.45
Li2.33Sn,0.3
Li2.33Sn,0.37
Li2.3Si,0.0001
Li2.3Si,0.00025
Li2.3Sn,0.72
Li2.3Sn,0.8
Li2.3Sn,0.58
Li2.3Sn / LiSn,0.94
Li2.3Sn / LiSn,0.84
Li2.3Sn / LiSn,0.67
Li2.5Na0.5V1.98Ni0.03(PO4)3 / C,3.4
Li2.5Na0.5V1.98Ni0.03(PO4)3 / C,4.3
Li2.5Na0.5V2(PO4)3,1.5
Li2.5Na0.5V2(PO4)3,4.1
Li2.5Na0.5V2(PO4)3,1.84
Li2.5Na0.5V2(PO4)3,3.84
Li2.5Na0.5V2(PO4)3,3.75
Li2.5Na0.5V2(PO4)3 / C,3.17
Li2.5Na0.5V2(PO4)3 / C,1.58
Li2.5Na0.5V2(PO4)3 / C,3.47
Li2.5Na0.5V2(PO4)3 / C,1.7
Li2.5Na0.5V2(PO4)3 / C,3.27
Li2.5Na0.5V2(PO4)3 / C,3.72
Li2.5Na0.5V2(PO4)3 / C,3.61
Li2.5Na0.5V2(PO4)3 / C,3.73
Li2.5Na0.5V2(PO4)3 / C,1.57
Li2.5Na0.5V2(PO4)3 / C,1.76
Li2.5Na0.5V2(PO4)3 / C,3.82
Li2.5Na0.5V2(PO4)3 / C,3.33
Li2.5Na0.5V2(PO4)3 / C,3.07
Li2.5Ni0.5N,1.4
Li2.5Ru0.5Co0.5O3,3.6
Li2.5Ru0.5Co0.5O3,4
Li2.5Ru0.5Co0.5O3,3.7
Li2.5Sn,0.4
Li2.5V2(PO4)3,3
Li2.5V2(PO4)3,4.11
Li2.5V2(PO4)3,3.62
Li2.5V2(PO4)3,3.59
Li2.5V2(PO4)3,3.69
Li2.5V2(PO4)3,3.74
Li2.5V2(PO4)3,4.1
Li2.5V2(PO4)3,3.67
Li2.5V2(PO4)3,3.6
Li2.5V2(PO4)3,3.65
Li2.5V2(PO4)3,3.68
Li2.5V2(PO4)3,4.15
Li2.5V2(PO4)3,3.573
Li2.5V2(PO4)3,3.8
Li2.5V2(PO4)3,3.73
Li2.5V2(PO4)3,3.7
Li2.5V23+ / 4+(PO4)3,3.59
Li2.61Cu0.39N,0.7
Li2.61Cu0.39N,0.2
Li2.61Cu0.39N,0.02
Li2.61Cu0.39N,2
Li2.62V2(PO4)3,3
Li2.64Co0.18N,1
Li2.64Co0.18N,1.6
Li2.64Co0.18N,0.02
Li2.67TiNb2O7,1.571
Li2.6BMg0.05,0.1
Li2.6BMg0.05,0.04
Li2.6Co0.2Cu0.15Fe0.05N,0.65
Li2.6Co0.2Cu0.15Fe0.05N,1
Li2.6Co0.2Cu0.15Fe0.05N,1.2
Li2.6Co0.2Cu0.1Ni0.1N,1.2
Li2.6Co0.2Cu0.1Ni0.1N,1.1
Li2.6Co0.2Cu0.2N,1
Li2.6Co0.2Cu0.2N,0.2
Li2.6Co0.2Cu0.2N,1.2
Li2.6Co0.2Cu0.2Na,0.1
Li2.6Co0.2Cu0.2Na,1.1
Li2.6Co0.2Ni0.15Fe0.05N,1
Li2.6Co0.4N,1.4
Li2.6Co0.4N,0.02
Li2.6Co0.4N,0.2
Li2.6Co0.4N,1
Li2.6Co0.4N,0.8
Li2.6Co0.4N,1.5
Li2.6Co0.4N,1.3
Li2.6Co0.4N,1.2
Li2.6Co0.4N,0.9
Li2.6Co0.4N ,0.85
Li2.6Na0.4V2(PO4)3 / C,4.3
Li2.6Na0.4V2(PO4)3 / C,3.73
Li2.6Na0.4V2(PO4)3 / C,3.78
Li2.6Na0.4V2(PO4)3 / C ,4.3
Li2.7Fe0.3N,0.4
Li2.7Fe0.3N,1.18
Li2.7Ti2(PO4)3,2.2
Li2.7Ti2(PO4)3,2.5
Li2.7V3O8,2.3
Li2.8(V0.9Ge0.1)2(PO4)3,4.27
Li2.82Na0.18V2(PO4)3 / C ,3.7
Li2.85K0.15V2(PO4)3 / C,4.05
Li2.85K0.15V2(PO4)3 / C,3.95
Li2.85K0.15V2(PO4)3 / C,3.72
Li2.8Fe0.2N,1.3
Li2.8Fe1.8Ti0.2(PO4)3,2.7
Li2.8Fe1.8Ti0.2(PO4)3,2.65
Li2.8V2(PO4)3,0.85
Li2.93Na0.07V2(PO4)3 / C,4.8
Li2.95Na0.05V2(PO4)3,3.57
Li2.95Na0.05V2(PO4)3,4.1
Li2.95Na0.05V2(PO4)3,3.64
Li2.95Na0.05V2(PO4)3,3.99
Li2.95Na0.05V2(PO4)3,4.2
Li2.95Na0.05V2(PO4)3,3.69
Li2.95Na0.05V2(PO4)3,3.78
Li2.95Na0.05V2(PO4)3 / C,4.8
Li2.95Na0.05V2(PO4)3 / C ,4.8
Li2.95Na0.05V2(PO4)3 / C ,3
Li2.97Mg0.03VO4,0.663
Li2.97Mg0.03VO4,3
Li2.97Mg0.03VO4,0.793
Li2.97Mg0.03VO4,0.715
Li2.97Mg0.03VO4,0.289
Li2.97Mg0.03VO4,0.391
Li2.97Mg0.03VO4,0.546
Li2.97Mg0.03VO4,0.437
Li2.97Na0.03V2(PO4)3,5.00E-05
Li2.97Na0.03V2(PO4)3 / C,4.8
Li2.99K0.01V2(PO4)3 / C,3
Li2.99K0.01V2(PO4)3 / C,4.8
Li2[Mn2]O4,0.0005
Li2[Mn2]O4,3
Li2+xC16H8O4 / Li,3
Li2+xC16H8O4 / Li,0.5
Li2+xFe0.5−x / 2Mn0.5−x / 2Si1−xVxO4,4.3
Li2+xNa2−xTi6O14,1.25
Li2+xNa2−xTi6O14,1.34
Li2+xNa2−xTi6O14,3
Li2+xNa2−xTi6O14,1.23
Li2+xNa2−xTi6O14,1.22
Li2+xNa2−xTi6O14,1.35
Li2+xNa2−xTi6O14,0.1
Li2+xNa2−xTi6O14,1.4
Li2+xNa2−xTi6O14,1.32
Li2+xWO4,0.76
Li2+yRuO3,1.4
Li20S10,0.37
Li20S10,1.26
Li20S10,1.27
Li213CO3,3.5
Li213CO3,4
Li213CO3-Ru @ CNT ,3.5
Li21Si5,0.4
Li21Si8,0.2
Li21Si8,0.3
Li21Si8,0.4
Li21Si8,2
Li21Si8,0.6
Li21Ti27O64,6.10E-05
Li21Ti27O64,0.000113
Li21Ti27O64,7.40E-05
Li22Ge5,3
Li22Ge5,0.73
Li22Ge5,0.25
Li22Si4,0.05
Li22Sn5,0.47
Li22Sn5,0.72
Li22Sn5,0.49
Li22Sn5,0.85
Li22Sn5,0.18
Li22Sn5,0.13
Li22Sn5,0.52
Li22Sn5,0.6
Li22Sn5,0.75
Li22Sn5,1.89
Li22Sn5,0.2
Li22Sn5,0.77
Li22Sn5,0.5
Li22Sn5,0.00054
Li22Sn5,0.31
Li22Sn5,0.423
Li22Sn5,0.00053
Li22Sn5,0.7
Li22Sn5,0.8
Li22Sn5,0.62
Li22Sn5,0.39
Li22Sn5,1
Li22Sn5,0.32
Li22Sn5,0.65
Li22Sn5,0.28
Li22Sn5,0.71
Li22Sn5–Li7Sn3,1
Li2-2xMgxMnO3,3
Li24dLix4eTiSiO5 + ( 2 − x ),0.1
Li26Coo 4N,1.4
Li26Coo4N,1.4
Li28Bi4V2O11,0.5
Li28Bi4V2O11,0.7
Li2−δMn2O4,2.9
Li2−x FeS2,2.25
Li2−x FeSi1−x P x O4,3
Li2−xCr0.2Mn1.8O4,4.4
Li2−xCuO2,2.5
Li2−xCuO2 ,2.5
Li2−xFeS2,1.8
Li2−xFeS2,1.36
Li2−xFeS2,1.9
Li2−xFeS2,1.91
Li2−xFeS2,1.882
Li2−xFeS2,2.35
Li2−xFeS2,2.5
Li2−xFeS2,1.35
Li2−xFeS2,0.7
Li2−xFeS2,2.45
Li2−xFeS2,1.432
Li2−xFeSi1−xPxO4,3
Li2−xFeSiO4,0.0032
Li2−xHxMnO3,4.7
Li2−xMnO3,4.6
Li2−xMnSiO4,4.6
Li2−xMoO3,4.4
Li2−xNa2+xTi6O14,3
Li2−xNa2+xTi6O14,1.35
Li2−xNa2+xTi6O14,1.24
Li2−xNa2+xTi6O14,1.34
Li2−xNaxCoTi3O8,0.96
Li2−xNaxCoTi3O8,3
Li2−xNaxCoTi3O8,0.46
Li2−xNaxCoTi3O8,1.59
Li2−xNaxCoTi3O8,1.02
Li2−xNaxCoTi3O8,1.4
Li2−xNaxMnO3,2.8
Li2−xNaxZnTi3O8,1.1
Li2−xNaxZnTi3O8,1.5
Li2−xNaxZnTi3O8,0.6
Li2−xNaxZnTi3O8,1.34
Li2−xNaxZnTi3O8,3
Li2−xO2,2.35
Li2−xO2,3.5
Li2−xO2,3.73
Li2−xO2,3.6
Li2−xO2,0.3
Li2−xO2,3.25
Li2−xO2,3.4
Li2−xPtO3,4
Li2−xRuO3,3.6
Li2−xRuO3 ,2.8
Li2−xRuO3 ,1.8
Li2−xVO3,3.5
Li2−xVO3,1
Li2−xVTiO4,4.4
Li2−xVTiO4,2
Li2AlMnO4,2.8
Li2AlMnO4,2
Li2B12F8H4,1
Li2B12F8H4,3.5
Li2B12F9H3,4.4
Li2BaTi6O14,0.5
Li2BaTi6O14,1.17
Li2BaTi6O14,1.45
Li2BaTi6O14,1.36
Li2BaTi6O14,1.61
Li2BaTi6O14,1.43
Li2BaTi6O14,2
Li2BaTi6O14 ,1.32
Li2BaTi6O14 ,1.35
Li2Bi,1.75E-05
Li2Bi(CO3)(PO4),4.5
Li2C2,3.5
Li2C2,1.92
Li2C2,4.2
Li2C2 ,3.5
Li2C2O4,4.5
Li2C2O4–Mo2C,3.5
Li2C40,0.46
Li2C40,0.41
Li2C40,0.35
Li2C40,0.57
Li2C40,0.31
Li2C40,0.4
Li2C4O4,3.9
Li2C4O4,0.9
Li2C6O4Cl219,2.3
Li2C6O4Cl2·H2O,1.8
Li2C6O6 / Li6C6O6,2
Li2C8H4O4,0.7
Li2C8H4O4,1.4
Li2C8H4O4,0.9
Li2C8H4O4,1
Li2C8O4H4,0.8
Li2C8O4H4,1.4
Li2CeO3,3
Li2CeO3 / Li,2.52
Li2Co(SO4)2,5.2
Li2Co(WO4)2,2.15
Li2Co(WO4)2,1.93
Li2Co(WO4)2,1.98
Li2Co0.4Fe0.4Mn3.2O8,5
Li2Co0.4Fe0.4Mn3.2O8 ,3.6
Li2Co0.4Fe0.4Mn3.2O8 oxide,5
Li2Co0.5Zn0.5Ti3O8,1.53
Li2Co0.5Zn0.5Ti3O8,1.63
Li2Co1,5.1
Li2Co2(MoO4)3 ,4.9
Li2Co2(MoO4)3 ,1.5
Li2Co2(MoO4)3 / / Li,1.5
Li2Co2(MoO4)3 / / Li,4.9
Li2CO3,2.96
Li2CO3,0.13
Li2CO3,4.3
Li2CO3,2.6
Li2CO3,2.4
Li2CO3,4.2
Li2CO3,0.3
Li2CO3,2.2
Li2CO3,0.65
Li2CO3,4
Li2CO3,4.61
Li2CO3,3.75
Li2CO3,1.9
Li2CO3,5.2
Li2CO3,0.17
Li2CO3,3.95
Li2CO3,2.53
Li2CO3,3.62
Li2CO3,3.56
Li2CO3,4.8
Li2CO3,4.1
Li2CO3,0.8
Li2CO3,0.1
Li2CO3,2.84
Li2CO3,3.8
Li2CO3,4.4
Li2CO3,0.02
Li2CO3,1.5
Li2CO3,0.4
Li2CO3,4.35
Li2CO3,3.98
Li2CO3,1.305
Li2CO3,0.2
Li2CO3,0.5
Li2CO3,3.2
Li2CO3,4.12
Li2CO3,0.08
Li2CO3,3.4
Li2CO3,5.1
Li2CO3,2.93
Li2CO3,1.4
Li2CO3,2.25
Li2CO3,1.3
Li2CO3,3.1
Li2CO3,4.6
Li2CO3,3.9
Li2CO3,2.9
Li2CO3,0.86
Li2CO3,5
Li2CO3,0.7
Li2CO3,4.5
Li2CO3,5.5
Li2CO3,0.43
Li2CO3,3.6
Li2CO3,2.5
Li2CO3,2
Li2CO3,3.02
Li2CO3,3.65
Li2CO3,1.72
Li2CO3,4.7
Li2CO3,3
Li2CO3,3.5
Li2CO3,0.16
Li2CO3,0.9
Li2CO3,3.15
Li2CO3,2.8
Li2CO3,2.7
Li2CO3,0.25
Li2CO3 ,4.5
Li2CO3 ,3.44
Li2CO3 ,3.41
Li2CO3–Na2CO3,4
Li2CO3–Na2CO3–K2CO3,2
Li2CoGeO4,1.36
Li2CoMn3O8,5
Li2CoMn3O8,5.2
Li2CoMn3O8,3.8
Li2CoMn3O8,5.1
Li2CoMn3O8,4
Li2CoMn3Os,5
Li2CoO3,3.8
Li2CoP2O7,4.9
Li2CoPO4F,5.4
Li2CoPO4F,5.1
Li2CoPO4F,4.7
Li2CoPO4F,4
Li2CoPO4F,4.8
Li2CoPO4F,5.5
Li2CoPO4F,3
Li2CoPO4F,2
Li2CoPO4F ,2
Li2CoPO4F ,5.1
Li2CoPO4F ,5
Li2CoPO4F / AC,3
Li2CoPO4F / C,5
Li2CoPO4F / C,5.4
Li2CoPO4F / Li,5.4
Li2CoPO4F / Li,2
Li2CoPO4F / Li4Ti5O12,3.9
Li2CoPO4F / Li4Ti5O12,3.4
Li2CoPO4F / LiCoPO4F,5.2
Li2CoPO4F / LiCoPO4F,4.8
Li2CoSiO4,3
Li2CoSiO4,4.61
Li2CoSiO4,4
Li2CoSiO4,4.5
Li2CoSiO4,4.4
Li2CoSiO4,4.1
Li2CoSiO4,5
Li2CoSiO4,4.6
Li2CoSiO4,4.8
Li2CoSiO4,4.3
Li2CoTi3O8,0.8
Li2CoTi3O8,1.65
Li2CoTi3O8,1.72
Li2CoTi3O8,3
Li2CoTi3O8,0.5
Li2CoTi3O8,1.5
Li2CoTi3O8,1.63
Li2CoTi3O8,0.05
Li2CoTi3O8,4.8
Li2CoTi3O8,0.46
Li2CoTi3O8,0.56
Li2CoTi3O8,1.6
Li2CoTiO4,1.5
Li2CoTiO4,4.8
Li2Cr,4
Li2CrO4,1.9
Li2CrO4 ,1.9
Li2CrTiO4,1
Li2Cu(WO4)2,1.98
Li2Cu(WO4)2,2.15
Li2Cu(WO4)2,1.93
Li2Cu0.5Mn0.5Ti3O8,3
Li2Cu0.5Ni0.5O2,3.9
Li2Cu0.5Ni0.5O2,4
Li2Cu1−xNixO2,1.5
Li2Cu1−xNixO2,4
Li2CuO2,2.8
Li2CuO2,4.3
Li2CuO2,3.3
Li2CuO2,3.38
Li2CuO2,2.1
Li2CuO2,3.8
Li2CuO2,3.4
Li2CuO2,3.2
Li2CuO2,1.5
Li2CuO2,3
Li2CuO2,2
Li2CuO2,2.5
Li2CuO2,4
Li2CuO2,3.1
Li2CuO2,3.5
Li2CuO2,4.2
Li2CuP,1.06
Li2CuP2O7,3.1
Li2CuP2O7,3.5
Li2CuP2O7,1.5
Li2CuP2O7 ,2
Li2CuPS4,1.77
Li2CuPS4,0.66
Li2CuPS4,0.43
Li2CuPS4,5
Li2CuPS4,1.75
Li2CuPS4,2.33
Li2CuSb,1.01
Li2CuSb,0.8
Li2CuSb,1.5
Li2CuSb,0.93
Li2CuSb–Li3Sb,0.65
Li2CuSn,0.86
Li2CuSn,0.1
Li2CuSn,0.0005
Li2CuSn,0.0004
Li2CuSn,0.2
Li2CuSn,0.11
Li2CuSn,0.35
Li2CuSn,0.0008
Li2CuSn,0.6
Li2CuSn,0.55
Li2CuSn,0.3
Li2CuSn,0.68
Li2CuSn,0.56
Li2CuSn lithium,0.0004
Li2CuSn lithium,1.2
Li2CuTi3O8,3
Li2CuTi3O8,1.6
Li2CuTi3O8,1.3
Li2Fe(PO4)(OH),2.45
Li2Fe(SO4)2,3.91
Li2Fe(SO4)2,3.99
Li2Fe[PO4]F,3
Li2Fe0.4Co0.4Mn3.2O8,3.5
Li2Fe0.5Mn0.5P2O7 / C ,3.7
Li2Fe0.5Mn0.5P2O7 / C ,3.2
Li2Fe0.5Mn0.5P2O7 / C ,4.3
Li2Fe0.5Mn0.5SiO4,4.7
Li2Fe0.5Ti0.5SiO4,4.2
Li2Fe0.5Ti0.5SiO4,4.68
Li2Fe0.75Mn0.25SiO4,4.2
Li2Fe0.75Mn0.25SiO4,2
Li2Fe0.98Ag0.02SiO4 / C,3.6
Li2Fe0.98Cu0.02SiO4 / C,0.5
Li2Fe0.98Ni0.02P2O7,3.2
Li2Fe0.98Ni0.02P2O7 / C,0.17
Li2Fe0.98Ni0.02P2O7 / C ,4.5
Li2Fe0.98Pb0.02SiO4 / C,2.9
Li2Fe0.98Pb0.02SiO4 / C,2.4
Li2Fe0.98Zn0.02SiO4 / C,0.5
Li2Fe0.9Mn0.1SiO4 / C,1.5
Li2Fe0.9Mn0.1SiO4 / C,4.8
Li2Fe1-3x / 2VxP2O7,4.5
Li2Fe1-3x / 2VxP2O7,3.4
Li2Fe1-3x / 2VxP2O7,2
Li2Fe1-3x / 2VxP2O73x / 2VxP2O7,4.5
Li2Fe1−xMnxP2O7,3.9
Li2Fe1−xMnxP2O7 / C ,4.7
Li2Fe1−xMnxSiO4 / C,4.8
Li2Fe1−xMnxSiO4 / C ,4.8
Li2Fe1−xMnxSiO4 / C ,1.5
Li2Fe1−xNixSiO4 / C ,1.5
Li2Fe1−xNixSiO4 / C ,4.8
Li2Fe1−xS,1.5
Li2Fe1−xS2,1.45
Li2Fe1-xS,1.5
Li2Fe1-xVxSiO4 / C,4.8
Li2Fe1-xVxSiO4 / C ,4.8
Li2Fe1-yS,1.9
Li2Fe2(MoO4)3,0.6
Li2Fe2O3,1.6
Li2Fe2O3,0.8
Li2Fe2O3,0.9
Li2Fe2O3,0.85
Li2Fe2O3,0.83
Li2Fe2O3,0.94
Li2Fe2O3,1.2
Li2Fe2O3,1.75
Li2Fe2O3,0.6
Li2Fe2O3,1.3
Li2Fe2O3,1.25
Li2Fe2O3,1.1
Li2Fe2O3,1
Li2Fe2O3,0.75
Li2Fe2O3,0.7
Li2Fe2O3,0.92
Li2Fe2O3,0.02
Li2Fe3O4,0.4
Li2Fe3O4,3
Li2Fe3O4,0.62
Li2FeF6,6.1
Li2FeGeO4,3.15
Li2FeMn3O8,4.9
Li2FeMn3O8,4.8
Li2FeMn3O8,5
Li2FeP2O7,3.45
Li2FeP2O7,4.3
Li2FeP2O7,5.2
Li2FeP2O7,3.4
Li2FeP2O7,3.2
Li2FeP2O7,4.5
Li2FeP2O7,0.07
Li2FeP2O7 / C,3.5
Li2FeP2O7 / C ,3.4
Li2FeP2O7 / C ,3.5
Li2FeP2O7 / C ,3.7
Li2FeP2O7 / Li,4.2
Li2FeP2O7 / Li,2.5
Li2FeP2S6,3
Li2FePO4F,1.8
Li2FePO4F,4.5
Li2FePO4F,3.5
Li2FePO4F / LiFePO4F,2.8
Li2FePO4F fluorophosphate,3.5
Li2FeS,1.2
Li2FeS,0.7
Li2FeS2,1.9
Li2FeS2,1.95
Li2FeS2,2.5
Li2FeS2,2.49
Li2FeS2,0.4
Li2FeS2,3.6
Li2FeS2,1
Li2FeS2,2.1
Li2FeS2,1.8
Li2FeS2,1.1
Li2FeS2,1.4
Li2FeS2,1.98
Li2FeS2,2.42
Li2FeS2,1.71
Li2FeS2,1.91
Li2FeS2,1.38
Li2FeS2,1.3
Li2FeS2,1.67
Li2FeS2,1.25
Li2FeS2,1.32
Li2FeS2,1.94
Li2FeS2,2
Li2FeS2,0.67
Li2FeS2,2.3
Li2FeS2,2.4
Li2FeS2,1.6
Li2FeS2,1.97
Li2FeS2,1.35
Li2FeS2,0.7
Li2FeS2,1.85
Li2FeS2,2.45
Li2FeS2,0.74
Li2FeS2 : FeS2,1.33
Li2FeS2−y,1.6
Li2FeS2−y,1.5
Li2FeS2−y,1.75
Li2FeSe2,2
Li2FeSe2,1.9
Li2FeSi0.98Mg0.02O4 / C,2
Li2FeSi0.98Mn0.02O4 / C,3
Li2FeSi0.98Mn0.02O4 / C,3.5
Li2FeSiO3.5N0.5,4.7
Li2FeSiO3.5N0.5,4.2
Li2FeSiO3.5N0.5,4.1
Li2FeSiO3N,4.1
Li2FeSiO4,4.79
Li2FeSiO4,4.86
Li2FeSiO4,4.08
Li2FeSiO4,1.8
Li2FeSiO4,2.67
Li2FeSiO4,3.05
Li2FeSiO4,1.5
Li2FeSiO4,4.2
Li2FeSiO4,2.49
Li2FeSiO4,2
Li2FeSiO4,2.9
Li2FeSiO4,3.27
Li2FeSiO4,3.12
Li2FeSiO4,2.81
Li2FeSiO4,0.3
Li2FeSiO4,3.7
Li2FeSiO4,4.3
Li2FeSiO4,3.24
Li2FeSiO4,4.1
Li2FeSiO4,3.1
Li2FeSiO4,3
Li2FeSiO4,4.85
Li2FeSiO4,4.8
Li2FeSiO4,2.85
Li2FeSiO4,4.4
Li2FeSiO4,3.8
Li2FeSiO4,0.7
Li2FeSiO4,3.2
Li2FeSiO4,4.5
Li2FeSiO4,4.7
Li2FeSiO4,3.3
Li2FeSiO4,2.5
Li2FeSiO4,2.56
Li2FeSiO4,3.29
Li2FeSiO4,4.6
Li2FeSiO4,2.7
Li2FeSiO4,3.9
Li2FeSiO4,3.08
Li2FeSiO4,2.8
Li2FeSiO4,3.07
Li2FeSiO4,4
Li2FeSiO4 ,0.35
Li2FeSiO4 ,2
Li2FeSiO4 ,0.75
Li2FeSiO4 ,3
Li2FeSiO4 ,4.6
Li2FeSiO4 ,1.5
Li2FeSiO4 ,1
Li2FeSiO4 / C,3.29
Li2FeSiO4 / C,3.1
Li2FeSiO4 / C,1.2
Li2FeSiO4 / C,3.3
Li2FeSiO4 / C,2.6
Li2FeSiO4 / C,0.8
Li2FeSiO4 / C,4.8
Li2FeSiO4 / C,1.5
Li2FeSiO4 / C,2.8
Li2FeSiO4 / C,3
Li2FeSiO4 / C,4.6
Li2FeSiO4 / C,0.0001
Li2FeSiO4 / C,4.5
Li2FeSiO4 / C,3.2
Li2FeSiO4 / C ,4.5
Li2FeSiO4 / C ,4.8
Li2FeSiO4 / C ,2.8
Li2FeSiO4 / C ,3.2
Li2FeSiO4 / C ,4
Li2FeSiO4 / C ,1.5
Li2FeSiO4 / C / CNT ,4.8
Li2FeSiO4 / C / CNT ,1.5
Li2FeSiO4 / CNTs / C,3.2
Li2FeSiO4 / CNTs / C,4.5
Li2FeSiO4 / CNTs / C,1.5
Li2FeSiO4 / LiFeSiO4,2.8
Li2FeSiO4 / LiFeSiO4,3.1
Li2FeSiO4N,4.1
Li2FeSiO4-yNy,4.1
Li2FeSiS4,3.07
Li2FeSiS4,3.24
Li2FeSiS4,3.03
Li2FeSiS4,3.14
Li2FeSO,3
Li2FeTi(PO4)3,2.75
Li2FeTiO4,4
Li2FeTiO4,2.4
Li2FeTiO4,4.8
Li2FeTiO4,2
Li2FeVyTi1−yO4,4
Li2FexOy,0.79
Li2FexSiO4 / C,4
Li2FexSiO4 / C,1.5
Li2FexSiO4 / C,2
Li2Ga,0.8
Li2GaP,0.36
Li2GeGa2S6,6
Li2In,0.03
Li2Mg0.15Mn0.4Co0.45SiO4 / C,4.8
Li2MgSi,0.26
Li2MgSi,0.000225
Li2MgSi,0.6
Li2MgSi,2
Li2MgSi,0.4
Li2MgSi,0.2
Li2MgSi,0.02
Li2MgSi,0.39
Li2MgSnO4,2.56
Li2MgSnO4,3.18
Li2MgSnO4,3.5
Li2MgSnO4,3.24
Li2MgSnO4,1.2
Li2MgSnO4,1
Li2Mn O3·Li[MnNiCo]O2,4.6
Li2Mn(1−x)CrxSiO4,2
Li2Mn(1−x)CrxSiO4,5
Li2Mn(SO4)2,5.2
Li2Mn(VO3)4·2H2O,1.2
Li2Mn(VO3)4·2H2O,2.15
Li2Mn(VO3)4·2H2O,2.6
Li2Mn(VO3)4·2H2O,4.4
Li2Mn0.4Ru0.6O3,3.8
Li2Mn0.4Ru0.6O3,2
Li2Mn0.4Ru0.6O3,4.8
Li2Mn0.4Ru0.6O3,3.7
Li2Mn0.4Ru0.6O3,4.2
Li2Mn0.4Ru0.6O3,3.3
Li2Mn0.8Fe0.2SiO4 / carbon,5
Li2Mn0.8Fe0.2SiO4 / carbon,2
Li2Mn0.99Al0.01O3,0.2
Li2Mn1−xRuxO3,4.5
Li2Mn1−xRuxO3,4.8
Li2Mn1−xTixSiO4,4.8
Li2Mn1−yNiyO2,1.5
Li2Mn1-xCrxSiO4 / C nano,4.8
